"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
2;"D3,D2,D4,D1";"D_0805_2012Metric";4;"US1A";;;
3;"R3,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10K";;;
4;"J4";"HANDSON_KF301-2P";1;"KF301-2P";;;
5;"U1";"MODULE_ESP32-DEVKITC";1;"ESP32-DEVKITC";;;
6;"JP4,JP1,JP2,JP5,JP3,JP8,JP6";"PinHeader_1x02_P2.54mm_Vertical";7;"Jumper_2_Open";;;
7;"U3";"MODULE_WIZ5500";1;"WIZ5500";;;
8;"U2";"XCVR_E22-900M30S";1;"E22-900M30S";;;
9;"H2,H1,H4";"MountingHole_3.5mm_Pad_TopBottom";3;"MountingHole_Pad";;;
10;"J1";"SMA_Wurth_60312002114503_Vertical";1;"60312002114503";;;
11;"H3";"MountingHole_3.5mm_Pad_TopBottom";1;"~";;;
12;"J2";"NEO 6 GPS Module";1;"GPS";;;
13;"J3";".96 OLED Display Module";1;"OLED";;;
14;"U4";"Buck Voltage Reg Module";1;"13770";;;
